time,value
2024-07-13T12:48:11.982335756Z,{"lat":10.845421692399565,"lon":106.6820888528678}
2024-07-13T12:48:13.009587332Z,{"lat":10.845422686324888,"lon":106.68208864023522}
2024-07-13T12:48:14.023599468Z,{"lat":10.845423643384756,"lon":106.68208843548938}
2024-07-13T12:48:14.997667281Z,{"lat":10.845423643384756,"lon":106.68208843548938}
2024-07-13T12:48:16.012610669Z,{"lat":10.845423643384756,"lon":106.68208843548938}
2024-07-13T12:48:17.041748328Z,{"lat":10.845423643384756,"lon":106.68208843548938}
2024-07-13T12:48:18.03776549Z,{"lat":10.845425418354525,"lon":106.6820880557663}
2024-07-13T12:48:19.062104435Z,{"lat":10.845427251857835,"lon":106.68208766352102}
2024-07-13T12:48:20.055682207Z,{"lat":10.845427251857835,"lon":106.68208766352102}
2024-07-13T12:48:21.072741411Z,{"lat":10.845427251857835,"lon":106.68208766352102}
2024-07-13T12:48:22.06481253Z,{"lat":10.845427251857835,"lon":106.68208766352102}
2024-07-13T12:48:23.098904815Z,{"lat":10.845427251857835,"lon":106.68208766352102}
2024-07-13T12:48:24.202026324Z,{"lat":10.845434125936128,"lon":106.68208619293479}
2024-07-13T12:48:25.096080878Z,{"lat":10.845438257886224,"lon":106.68208530897789}
2024-07-13T12:48:26.117721575Z,{"lat":10.845438257886224,"lon":106.68208530897789}
2024-07-13T12:48:27.14294099Z,{"lat":10.845438257886224,"lon":106.68208530897789}
2024-07-13T12:48:28.158151743Z,{"lat":10.845438257886224,"lon":106.68208530897789}
2024-07-13T12:48:29.156008836Z,{"lat":10.845438257886224,"lon":106.68208530897789}
2024-07-13T12:48:30.186999772Z,{"lat":10.845446128754618,"lon":106.68208362514622}
2024-07-13T12:48:31.168331204Z,{"lat":10.84540698731648,"lon":106.68208513448816}
2024-07-13T12:48:32.185071562Z,{"lat":10.84540698731648,"lon":106.68208513448816}
2024-07-13T12:48:33.207421411Z,{"lat":10.84540698731648,"lon":106.68208513448816}
2024-07-13T12:48:34.208135058Z,{"lat":10.84540698731648,"lon":106.68208513448816}
2024-07-13T12:48:35.231311146Z,{"lat":10.84540698731648,"lon":106.68208513448816}
2024-07-13T12:48:36.231121554Z,{"lat":10.845424109371612,"lon":106.68208358465664}
2024-07-13T12:48:37.247932767Z,{"lat":10.845426627855515,"lon":106.6820916235423}
2024-07-13T12:48:38.243985508Z,{"lat":10.845426627855515,"lon":106.6820916235423}
2024-07-13T12:48:39.220370607Z,{"lat":10.845426627855515,"lon":106.6820916235423}
2024-07-13T12:48:43.574700547Z,{"lat":10.845420719342108,"lon":106.68208896815919}
2024-07-13T12:48:44.592323861Z,{"lat":10.845420719342108,"lon":106.68208896815919}
2024-07-13T12:48:45.610495262Z,{"lat":10.845420719342108,"lon":106.68208896815919}
2024-07-13T12:48:46.623037857Z,{"lat":10.845420719342108,"lon":106.68208896815919}
2024-07-13T12:48:47.624058484Z,{"lat":10.845420719342108,"lon":106.68208896815919}
2024-07-13T12:48:48.653955668Z,{"lat":10.845444351526169,"lon":106.68208396271024}
2024-07-13T12:48:49.662192693Z,{"lat":10.845444351526169,"lon":106.68208396271024}
2024-07-13T12:48:50.678926744Z,{"lat":10.845444351526169,"lon":106.68208396271024}
2024-07-13T12:48:51.697114659Z,{"lat":10.845444351526169,"lon":106.68208396271024}
2024-07-13T12:48:52.7159467Z,{"lat":10.845444351526169,"lon":106.68208396271024}
2024-07-13T12:48:53.732869299Z,{"lat":10.845423706429019,"lon":106.68208803856174}
2024-07-13T12:48:54.717312445Z,{"lat":10.845423706429019,"lon":106.68208803856174}
2024-07-13T12:48:55.755295367Z,{"lat":10.845423706429019,"lon":106.68208803856174}
2024-07-13T12:48:56.773472547Z,{"lat":10.845423706429019,"lon":106.68208803856174}
2024-07-13T12:48:57.774783331Z,{"lat":10.845423706429019,"lon":106.68208803856174}
2024-07-13T12:48:58.799674504Z,{"lat":10.845424625654163,"lon":106.68208785613177}
2024-07-13T12:48:59.774305898Z,{"lat":10.845424067490162,"lon":106.68208804762328}
2024-07-13T12:49:00.794710942Z,{"lat":10.845424067490162,"lon":106.68208804762328}
2024-07-13T12:49:01.809183341Z,{"lat":10.845424067490162,"lon":106.68208804762328}
2024-07-13T12:49:02.820589943Z,{"lat":10.845424067490162,"lon":106.68208804762328}
2024-07-13T12:49:03.82430572Z,{"lat":10.845424067490162,"lon":106.68208804762328}
2024-07-13T12:49:04.842932159Z,{"lat":10.84542567833233,"lon":106.68208772261066}
2024-07-13T12:49:05.861786736Z,{"lat":10.845427362174686,"lon":106.68208738286914}
2024-07-13T12:49:06.875832453Z,{"lat":10.845427362174686,"lon":106.68208738286914}
2024-07-13T12:49:07.893633635Z,{"lat":10.845427362174686,"lon":106.68208738286914}
2024-07-13T12:49:08.909538672Z,{"lat":10.845427362174686,"lon":106.68208738286914}
2024-07-13T12:49:09.924680167Z,{"lat":10.845427362174686,"lon":106.68208738286914}
2024-07-13T12:49:11.004934874Z,{"lat":10.845433877958712,"lon":106.68208606820781}
2024-07-13T12:49:11.956041311Z,{"lat":10.84543791350744,"lon":106.68208525397274}
2024-07-13T12:49:12.954530953Z,{"lat":10.84543791350744,"lon":106.68208525397274}
2024-07-13T12:49:13.98060551Z,{"lat":10.84543791350744,"lon":106.68208525397274}
2024-07-13T12:49:14.99190076Z,{"lat":10.84543791350744,"lon":106.68208525397274}
2024-07-13T12:49:16.023060128Z,{"lat":10.84544489986916,"lon":106.682083844365}
2024-07-13T12:49:17.011178585Z,{"lat":10.845422758983021,"lon":106.6820885602497}
2024-07-13T12:49:18.024795807Z,{"lat":10.845422758983021,"lon":106.6820885602497}
2024-07-13T12:49:19.041958267Z,{"lat":10.845422758983021,"lon":106.6820885602497}
2024-07-13T12:49:20.063205383Z,{"lat":10.845422758983021,"lon":106.6820885602497}
2024-07-13T12:49:21.061117944Z,{"lat":10.845422758983021,"lon":106.6820885602497}
2024-07-13T12:49:22.051977947Z,{"lat":10.845434872696703,"lon":106.68208604217952}
2024-07-13T12:49:23.078818521Z,{"lat":10.845421536815033,"lon":106.68208872810966}
2024-07-13T12:49:24.093958393Z,{"lat":10.845421536815033,"lon":106.68208872810966}
2024-07-13T12:49:25.115163492Z,{"lat":10.845421536815033,"lon":106.68208872810966}
2024-07-13T12:49:26.123401044Z,{"lat":10.845421536815033,"lon":106.68208872810966}
2024-07-13T12:49:27.137399933Z,{"lat":10.845421536815033,"lon":106.68208872810966}
2024-07-13T12:49:28.19730398Z,{"lat":10.845437443488203,"lon":106.68208541526222}
2024-07-13T12:49:29.162353743Z,{"lat":10.845442275137893,"lon":106.68208441086331}
2024-07-13T12:49:30.181545903Z,{"lat":10.845442275137893,"lon":106.68208441086331}
2024-07-13T12:49:31.199203115Z,{"lat":10.845442275137893,"lon":106.68208441086331}
2024-07-13T12:49:32.221029749Z,{"lat":10.845442275137893,"lon":106.68208441086331}
2024-07-13T12:49:33.219071468Z,{"lat":10.845442275137893,"lon":106.68208441086331}
2024-07-13T12:49:34.223736314Z,{"lat":10.84545268206596,"lon":106.68208224529228}
2024-07-13T12:49:35.229486219Z,{"lat":10.845451167673575,"lon":106.68208256156025}
2024-07-13T12:49:36.255056337Z,{"lat":10.845451167673575,"lon":106.68208256156025}
2024-07-13T12:49:37.263621044Z,{"lat":10.845451167673575,"lon":106.68208256156025}
2024-07-13T12:49:38.282788047Z,{"lat":10.845451167673575,"lon":106.68208256156025}
2024-07-13T12:49:39.293404963Z,{"lat":10.845451167673575,"lon":106.68208256156025}
2024-07-13T12:49:40.293677523Z,{"lat":10.845433569806238,"lon":106.68208640657596}
2024-07-13T12:49:41.325643834Z,{"lat":10.845433569806238,"lon":106.68208640657596}
2024-07-13T12:49:42.319565672Z,{"lat":10.845433569806238,"lon":106.68208640657596}
2024-07-13T12:49:43.335124409Z,{"lat":10.845433569806238,"lon":106.68208640657596}
2024-07-13T12:49:44.36175835Z,{"lat":10.845433569806238,"lon":106.68208640657596}
2024-07-13T12:49:45.36557108Z,{"lat":10.845433569806238,"lon":106.68208640657596}
2024-07-13T12:49:46.352550786Z,{"lat":10.845432700869555,"lon":106.68208641086719}
2024-07-13T12:49:47.374185006Z,{"lat":10.845432700869555,"lon":106.68208641086719}
2024-07-13T12:49:48.369887169Z,{"lat":10.845432700869555,"lon":106.68208641086719}
2024-07-13T12:49:49.425869425Z,{"lat":10.845432700869555,"lon":106.68208641086719}
2024-07-13T12:49:50.403697155Z,{"lat":10.845432700869555,"lon":106.68208641086719}
2024-07-13T12:49:51.408931605Z,{"lat":10.845432700869555,"lon":106.68208641086719}
2024-07-13T12:49:52.452150775Z,{"lat":10.845431812772377,"lon":106.6820865922092}
2024-07-13T12:49:53.452801621Z,{"lat":10.845431812772377,"lon":106.6820865922092}
2024-07-13T12:49:54.477077455Z,{"lat":10.845431812772377,"lon":106.6820865922092}
2024-07-13T12:49:55.492973986Z,{"lat":10.845431812772377,"lon":106.6820865922092}
2024-07-13T12:49:56.505713391Z,{"lat":10.845431812772377,"lon":106.6820865922092}
2024-07-13T12:49:57.528889082Z,{"lat":10.845431812772377,"lon":106.6820865922092}
2024-07-13T12:49:58.541503871Z,{"lat":10.845408872136758,"lon":106.68208483728017}
2024-07-13T12:49:59.560864498Z,{"lat":10.845408872136758,"lon":106.68208483728017}
2024-07-13T12:50:00.575092865Z,{"lat":10.845408872136758,"lon":106.68208483728017}
2024-07-13T12:50:01.576690705Z,{"lat":10.845408872136758,"lon":106.68208483728017}
2024-07-13T12:50:02.578117496Z,{"lat":10.845408872136758,"lon":106.68208483728017}
2024-07-13T12:50:03.586987935Z,{"lat":10.845408872136758,"lon":106.68208483728017}
2024-07-13T12:50:04.616660668Z,{"lat":10.845424381047826,"lon":106.68208790827141}
2024-07-13T12:50:05.629127332Z,{"lat":10.845424381047826,"lon":106.68208790827141}
2024-07-13T12:50:06.637005492Z,{"lat":10.845424381047826,"lon":106.68208790827141}
2024-07-13T12:50:07.638458731Z,{"lat":10.845424381047826,"lon":106.68208790827141}
2024-07-13T12:50:08.652844033Z,{"lat":10.845424381047826,"lon":106.68208790827141}
2024-07-13T12:50:09.678286239Z,{"lat":10.845424381047826,"lon":106.68208790827141}
2024-07-13T12:50:10.678155789Z,{"lat":10.845446655536735,"lon":106.68208437452776}
2024-07-13T12:50:11.690363933Z,{"lat":10.845446655536735,"lon":106.68208437452776}
2024-07-13T12:50:12.703970026Z,{"lat":10.845446655536735,"lon":106.68208437452776}
2024-07-13T12:50:13.704464692Z,{"lat":10.845446655536735,"lon":106.68208437452776}
2024-07-13T12:50:14.71783404Z,{"lat":10.845446655536735,"lon":106.68208437452776}
2024-07-13T12:50:15.719624536Z,{"lat":10.845446655536735,"lon":106.68208437452776}
2024-07-13T12:50:16.751716771Z,{"lat":10.845405090644475,"lon":106.68208491022149}
2024-07-13T12:50:17.758600634Z,{"lat":10.845405090644475,"lon":106.68208491022149}
2024-07-13T12:50:18.757655743Z,{"lat":10.845405090644475,"lon":106.68208491022149}
2024-07-13T12:50:19.785326784Z,{"lat":10.845405090644475,"lon":106.68208491022149}
2024-07-13T12:50:20.794927512Z,{"lat":10.845405090644475,"lon":106.68208491022149}
2024-07-13T12:50:21.830219467Z,{"lat":10.84540683828015,"lon":106.68208483485235}
2024-07-13T12:50:22.817425367Z,{"lat":10.845408243780398,"lon":106.68208307214188}
2024-07-13T12:50:23.826729339Z,{"lat":10.845408243780398,"lon":106.68208307214188}
2024-07-13T12:50:24.825702512Z,{"lat":10.845408243780398,"lon":106.68208307214188}
2024-07-13T12:50:25.833920837Z,{"lat":10.845408243780398,"lon":106.68208307214188}
2024-07-13T12:50:26.86273244Z,{"lat":10.845408243780398,"lon":106.68208307214188}
2024-07-13T12:50:27.874668679Z,{"lat":10.845411484731304,"lon":106.68208307599534}
2024-07-13T12:50:28.889728891Z,{"lat":10.845414810414626,"lon":106.68208307995002}
2024-07-13T12:50:29.899908994Z,{"lat":10.845414810414626,"lon":106.68208307995002}
2024-07-13T12:50:30.897738074Z,{"lat":10.845414810414626,"lon":106.68208307995002}
2024-07-13T12:50:32.484096825Z,{"lat":10.845414810414626,"lon":106.68208307995002}
2024-07-13T12:50:32.930918801Z,{"lat":10.84542425208013,"lon":106.68208309117723}
2024-07-13T12:50:33.937237121Z,{"lat":10.84542425208013,"lon":106.68208309117723}
2024-07-13T12:50:34.959935713Z,{"lat":10.84542425208013,"lon":106.68208309117723}
2024-07-13T12:50:35.958697859Z,{"lat":10.84542425208013,"lon":106.68208309117723}
2024-07-13T12:50:36.976187595Z,{"lat":10.84542425208013,"lon":106.68208309117723}
2024-07-13T12:50:37.976273743Z,{"lat":10.84542425208013,"lon":106.68208309117723}
2024-07-13T12:50:38.98917809Z,{"lat":10.845440109549056,"lon":106.68208311003399}
2024-07-13T12:50:40.006796565Z,{"lat":10.845440109549056,"lon":106.68208311003399}
2024-07-13T12:50:41.024984635Z,{"lat":10.845440109549056,"lon":106.68208311003399}
2024-07-13T12:50:42.040360795Z,{"lat":10.845440109549056,"lon":106.68208311003399}
2024-07-13T12:50:43.059994707Z,{"lat":10.845440109549056,"lon":106.68208311003399}
2024-07-13T12:50:44.073919755Z,{"lat":10.845440109549056,"lon":106.68208311003399}
2024-07-13T12:50:45.090354518Z,{"lat":10.845450432230962,"lon":106.68208312230931}
2024-07-13T12:50:46.094442982Z,{"lat":10.845450432230962,"lon":106.68208312230931}
2024-07-13T12:50:47.110233735Z,{"lat":10.845450432230962,"lon":106.68208312230931}
2024-07-13T12:50:48.125772283Z,{"lat":10.845450432230962,"lon":106.68208312230931}
2024-07-13T12:50:49.144865024Z,{"lat":10.845450432230962,"lon":106.68208312230931}
2024-07-13T12:50:50.142492298Z,{"lat":10.8454529701667,"lon":106.68208312532742}
2024-07-13T12:50:51.159406197Z,{"lat":10.8454529701667,"lon":106.68208312532742}
2024-07-13T12:50:52.175323825Z,{"lat":10.8454529701667,"lon":106.68208312532742}
2024-07-13T12:50:53.176467693Z,{"lat":10.8454529701667,"lon":106.68208312532742}
2024-07-13T12:50:54.191492102Z,{"lat":10.8454529701667,"lon":106.68208312532742}
2024-07-13T12:50:55.191630519Z,{"lat":10.8454529701667,"lon":106.68208312532742}
2024-07-13T12:50:56.197601577Z,{"lat":10.845450769132988,"lon":106.68208312271015}
2024-07-13T12:50:57.198538049Z,{"lat":10.845433886619633,"lon":106.68211169127257}
2024-07-13T12:50:58.210738342Z,{"lat":10.845433886619633,"lon":106.68211169127257}
2024-07-13T12:50:59.208570719Z,{"lat":10.845433886619633,"lon":106.68211169127257}
2024-07-13T12:51:00.245053553Z,{"lat":10.845433886619633,"lon":106.68211169127257}
2024-07-13T12:51:01.770691853Z,{"lat":10.845433886619633,"lon":106.68211169127257}
2024-07-13T12:51:02.244810898Z,{"lat":10.8454917557691,"lon":106.68210979510629}
2024-07-13T12:51:03.786672846Z,{"lat":10.8454917557691,"lon":106.68210979510629}
2024-07-13T12:51:04.279325778Z,{"lat":10.8454917557691,"lon":106.68210979510629}
2024-07-13T12:51:05.287009721Z,{"lat":10.8454917557691,"lon":106.68210979510629}
2024-07-13T12:51:06.288884537Z,{"lat":10.8454917557691,"lon":106.68210979510629}
